topic,word,score
0,university,0.0337724
0,research,0.0120335
0,professor,0.0118011
0,international,0.00881383
0,institute,0.00851046
0,science,0.00837981
0,society,0.00654814
0,studies,0.00645871
0,director,0.00631403
0,national,0.00579584
0,member,0.00559768
0,award,0.00554419
0,work,0.00539338
0,fellow,0.0052452
0,received,0.00499706
0,department,0.00476382
0,development,0.00471122
0,phd,0.00451656
0,social,0.00451042
0,american,0.00444905
0,health,0.00417811
0,technology,0.00415356
0,dr,0.00413164
0,association,0.00402467
0,education,0.00400187
0,history,0.00388964
0,center,0.00380547
0,medical,0.00343633
0,college,0.00340476
0,study,0.00330831
0,journal,0.00329867
0,engineering,0.00321975
0,public,0.00315048
0,including,0.00314522
0,sciences,0.00313733
0,published,0.00312944
0,board,0.00307245
0,foundation,0.00305579
0,school,0.00302159
0,academy,0.00300493
0,human,0.00294706
0,faculty,0.00293917
0,academic,0.00287429
0,economics,0.00282431
0,theory,0.00264544
0,philosophy,0.0026244
0,policy,0.00259721
0,computer,0.00256477
0,degree,0.00253671
0,awarded,0.00252181
0,field,0.00249375
0,chair,0.00246131
0,program,0.00245955
0,harvard,0.00235521
0,global,0.00223246
0,medicine,0.00221492
0,articles,0.00219563
0,teaching,0.00215267
0,political,0.0021176
0,visiting,0.00205271
0,project,0.00205096
0,economic,0.00200975
0,systems,0.00200273
0,author,0.00198695
0,information,0.00195802
0,scientific,0.00189752
0,associate,0.00184841
0,president,0.00184228
0,physics,0.00182474
0,advisory,0.0018151
0,council,0.00179931
0,holds,0.00178528
0,books,0.00175021
0,world,0.00171163
0,honorary,0.00166954
0,developed,0.0016599
0,founding,0.00164499
0,contributions,0.0016371
0,worked,0.00163447
0,management,0.00163009
0,lecturer,0.00158449
0,issues,0.00158011
0,graduate,0.00156345
0,book,0.00155907
0,scholar,0.00155293
0,centre,0.00154153
0,system,0.0015389
0,environmental,0.00152312
0,include,0.00151084
0,senior,0.00150646
0,students,0.00148366
0,oxford,0.00148366
0,numerous,0.00145735
0,energy,0.00144596
0,editor,0.00144508
0,psychology,0.00143982
0,california,0.00143456
0,mathematics,0.00142667
0,group,0.00141527
0,language,0.00141088
0,taught,0.00139685
0,analysis,0.00137669
0,distinguished,0.0013574
0,universities,0.00134951
0,prize,0.00133022
0,space,0.0013232
0,working,0.0013232
0,committee,0.0013083
0,papers,0.00125043
0,consultant,0.00123727
0,communication,0.00122324
