topic,word,score
0,league,0.0153349
0,season,0.01449
0,played,0.0141521
0,team,0.0104719
0,football,0.00916904
0,games,0.00765443
0,career,0.00743518
0,coach,0.00716149
0,club,0.0066514
0,player,0.00663201
0,game,0.00603392
0,born,0.00573115
0,playing,0.00492872
0,year,0.00489367
0,professional,0.00453347
0,baseball,0.00453273
0,cup,0.00437314
0,seasons,0.00423816
0,made,0.00420087
0,signed,0.00385484
0,major,0.00383173
0,national,0.00356773
0,play,0.00334997
0,years,0.00333058
0,basketball,0.00321425
0,won,0.00312699
0,final,0.00304049
0,record,0.00271982
0,manager,0.00271012
0,time,0.00270416
0,debut,0.00266463
0,high,0.00263182
0,goals,0.0026266
0,head,0.00257514
0,named,0.0025289
0,rugby,0.00248938
0,hockey,0.00244911
0,american,0.00242897
0,joined,0.00242301
0,spent,0.00242077
0,school,0.00240511
0,scored,0.00233352
0,championship,0.0023186
0,end,0.00231488
0,university,0.00227311
0,home,0.00222911
0,draft,0.00221345
0,city,0.00219034
0,round,0.00217542
0,side,0.00216722
0,appearances,0.00216498
0,college,0.00212993
0,united,0.00210607
0,players,0.00207251
0,division,0.00204417
0,teams,0.00201658
0,2007,0.00198451
0,2006,0.00197332
0,runs,0.00194573
0,retired,0.00193604
0,2008,0.00190397
0,footballer,0.00188682
0,september,0.00187265
0,win,0.00186817
0,minor,0.00185848
0,returned,0.00185102
0,back,0.00184207
0,moved,0.00184058
0,soccer,0.00183014
0,points,0.00181522
0,contract,0.00180329
0,senior,0.00178167
0,scoring,0.00172872
0,july,0.00170262
0,june,0.00169963
0,left,0.0016698
0,2010,0.00166384
0,august,0.00164892
0,led,0.00163252
0,january,0.00162282
0,match,0.0016094
0,world,0.00158703
0,selected,0.00157509
0,2009,0.00155794
0,state,0.00151171
0,10,0.00149381
0,st,0.00149008
0,winning,0.00147815
0,coaching,0.00146994
0,began,0.00144235
0,2011,0.00143266
0,2005,0.00142222
0,assistant,0.00142072
0,started,0.00140432
0,2004,0.00140208
0,clubs,0.00139761
0,2,0.00139761
0,goal,0.00138791
0,march,0.00138269
0,san,0.00137896
0,october,0.00136703
0,2003,0.00135734
0,nfl,0.00134615
0,april,0.00134466
0,november,0.00134391
0,11,0.00134317
0,era,0.00134242
0,1,0.00133347
0,earned,0.0013111
0,hall,0.0013111
0,hit,0.00130886
0,sports,0.00130364
0,fc,0.00128425
0,york,0.00128201
0,3,0.00127903
0,february,0.00127232
0,nba,0.00126859
0,conference,0.00126113
0,part,0.00125517
0,finished,0.00125368
0,6,0.00124995
0,12,0.00124025
0,town,0.00123205
0,5,0.00122459
0,december,0.00121415
0,injury,0.0012052
0,released,0.00120147
0,pitcher,0.00120073
0,drafted,0.00119924
0,free,0.00119103
0,nhl,0.00118507
0,20,0.00117686
0,average,0.00117463
0,top,0.00116493
0,traded,0.00115524
0,matches,0.00115151
0,2001,0.00114554
0,2002,0.00114032
0,times,0.00113883
0,history,0.00113585
0,leagues,0.00112988
0,2012,0.00112839
0,plays,0.00112764
0,red,0.0011269
0,14,0.00112615
0,starting,0.00112317
0,run,0.00110304
0,2000,0.00110154
0,21,0.00109409
0,north,0.00108141
0,regular,0.00107843
0,afl,0.00107619
0,sox,0.00106799
0,16,0.00105307
0,fame,0.00105232
0,15,0.00103741
0,1999,0.00103368
0,level,0.00102771
0,18,0.00102473
0,4,0.00102473
0,1997,0.00101727
0,1998,0.00101653
0,ncaa,0.00101355
0,south,0.00101131
0,total,0.00100833
0,west,0.00100534
0,13,0.000996393
0,chicago,0.000992665
0,1996,0.000982224
0,squad,0.00097775
0,junior,0.000968055
0,17,0.000961343
0,position,0.000952394
0,22,0.000946428
0,including,0.000943445
0,super,0.000939717
0,making,0.000938971
0,yards,0.000935242
0,2013,0.000934496
0,england,0.000930022
0,19,0.000916598
0,tournament,0.000914361
0,attended,0.000906904
0,captain,0.000897955
0,1995,0.00089348
0,athletic,0.000892734
0,premier,0.000889006
0,innings,0.000880057
0,big,0.000874091
0,23,0.00086365
0,2014,0.000860667
0,coached,0.000860667
0,allstar,0.000855447
0,tigers,0.000851718
0,30,0.000847244
0,youth,0.000845007
0,field,0.000833075
0,8,0.000833075
0,start,0.0008286
0,forward,0.00082338
0,appeared,0.000821888
0,7,0.000820397
0,pitched,0.000818905
0,due,0.000817414
0,appearance,0.000815177
0,ice,0.000814431
0,helped,0.000814431
0,joining,0.000813685
0,series,0.000803245
0,rangers,0.000800262
0,international,0.000797279
0,agent,0.000794296
0,1994,0.00079355
0,giants,0.000790567
0,1984,0.00078833
0,batted,0.000786838
0,bowl,0.000785347
0,defensive,0.000782364
0,boston,0.000782364
0,1982,0.000781618
0,award,0.000777889
0,1992,0.000777889
0,australian,0.000766703
0,ended,0.000761483
0,1989,0.000761483
0,member,0.000759246
0,1993,0.000751788
0,1990,0.000751042
0,lost,0.000750297
0,1981,0.000748805
0,9,0.000746568
0,1979,0.000746568
0,victory,0.00073911
0,1980,0.000738365
0,1987,0.000737619
0,rules,0.000736127
0,1983,0.000732399
0,1988,0.000731653
0,1991,0.000726433
0,loan,0.00072345
0,1985,0.00072345
0,retirement,0.000719721
0,make,0.000719721
0,1986,0.000716738
0,leading,0.000715992
0,25,0.000715247
0,detroit,0.000714501
0,24,0.000714501
0,ball,0.000711518
0,rookie,0.000710026
0,hits,0.000709281
0,louis,0.000707789
0,texas,0.000704806
0,number,0.000702569
0,age,0.000692128
0,cleveland,0.000686162
0,association,0.000685417
0,summer,0.000680942
0,los,0.000680196
0,successful,0.00067423
